Fecha,TIB,TIR,exp,cont
2014-03-06,3.18854538,3.25,4.25,2.25
2014-03-07,3.18431607,3.25,4.25,2.25
2014-03-08,,3.25,4.25,2.25
2014-03-09,,3.25,4.25,2.25
2014-03-10,3.1768973,3.25,4.25,2.25
2014-03-11,3.16139132,3.25,4.25,2.25
2014-03-12,3.14863912,3.25,4.25,2.25
2014-03-13,3.15077487,3.25,4.25,2.25
2014-03-14,3.12465613,3.25,4.25,2.25
2014-03-15,,3.25,4.25,2.25
2014-03-16,,3.25,4.25,2.25
2014-03-17,3.14569912,3.25,4.25,2.25
2014-03-18,3.14753699,3.25,4.25,2.25
2014-03-19,3.13825026,3.25,4.25,2.25
2014-03-20,3.14072145,3.25,4.25,2.25
2014-03-21,3.13817172,3.25,4.25,2.25
2014-03-22,,3.25,4.25,2.25
2014-03-23,,3.25,4.25,2.25
2014-03-24,,3.25,4.25,2.25
2014-03-25,3.14301148,3.25,4.25,2.25
2014-03-26,3.13957807,3.25,4.25,2.25
2014-03-27,3.12850884,3.25,4.25,2.25
2014-03-28,3.13156227,3.25,4.25,2.25
2014-03-29,,3.25,4.25,2.25
2014-03-30,,3.25,4.25,2.25
2014-03-31,3.16023662,3.25,4.25,2.25
2014-04-01,3.15369558,3.25,4.25,2.25
2014-04-02,3.16201969,3.25,4.25,2.25
2014-04-03,3.16292155,3.25,4.25,2.25
2014-04-04,3.16971512,3.25,4.25,2.25
2014-04-05,,3.25,4.25,2.25
2014-04-06,,3.25,4.25,2.25
2014-04-07,3.18640651,3.25,4.25,2.25
2014-04-08,3.20409171,3.25,4.25,2.25
2014-04-09,3.20629475,3.25,4.25,2.25
2014-04-10,3.21592546,3.25,4.25,2.25
2014-04-11,3.23058301,3.25,4.25,2.25
2014-04-12,,3.25,4.25,2.25
2014-04-13,,3.25,4.25,2.25
2014-04-14,3.24053364,3.25,4.25,2.25
2014-04-15,3.22568353,3.25,4.25,2.25
2014-04-16,3.24441697,3.25,4.25,2.25
2014-04-17,,3.25,4.25,2.25
2014-04-18,,3.25,4.25,2.25
2014-04-19,,3.25,4.25,2.25
2014-04-20,,3.25,4.25,2.25
2014-04-21,3.23829061,3.25,4.25,2.25
2014-04-22,3.2438864,3.25,4.25,2.25
2014-04-23,3.24154,3.25,4.25,2.25
2014-04-24,3.23621452,3.25,4.25,2.25
2014-04-25,3.23686962,3.25,4.25,2.25
2014-04-26,,3.25,4.25,2.25
2014-04-27,,3.25,4.25,2.25
2014-04-28,3.48850123,3.5,4.5,2.5
2014-04-29,3.47746383,3.5,4.5,2.5
2014-04-30,3.47985418,3.5,4.5,2.5
2014-05-01,,3.5,4.5,2.5
2014-05-02,3.50314052,3.5,4.5,2.5
2014-05-03,,3.5,4.5,2.5
2014-05-04,,3.5,4.5,2.5
2014-05-05,3.5019515,3.5,4.5,2.5
2014-05-06,3.50357167,3.5,4.5,2.5
