fecha,Efectivo,m1,m2,m3
2001-06-30,6505.237275856,14106.570088855999,57264.11639985599,62957.9972380838
2001-07-31,6350.643353802,13804.962156802001,57464.692975802,63105.4620158646
2001-08-31,6356.986759656,13415.217862656,56833.920977655995,63346.3262976409
2001-09-30,6283.475572209,13587.654484939001,56736.362489349005,63459.8536122221
2001-10-31,6670.1978713,13967.214776649998,56728.172569819995,65063.8611095518
2001-11-30,6868.51599778,14755.73270423,57877.283305230005,65925.9463949019
2001-12-31,8349.441371858,18736.950128768,62158.432053847995,68323.9596633918
2002-01-31,7565.964306728,15479.387754637999,59095.609313908004,66592.9544332472
2002-02-28,7488.475887959,16053.394363088999,59491.083372039,66914.979238533
2002-03-31,7509.963446284,15641.206363324,59099.202618494004,67067.7334317972
2002-04-30,7198.66885493,16085.61335284,59936.7909983,67772.5505956132
2002-05-31,7527.803794498,16238.972388877999,60274.739862028,68075.183834619
2002-06-30,7962.265818307,17278.960239677,61020.409584707,67960.90228398019
2002-07-31,8250.137664253,17453.268224343,61464.296706352994,68460.35441004639
2002-08-31,8192.592629146,17265.513452896,61481.527931125995,68460.2733839763
2002-09-30,8155.28388473,17157.72566148,61888.980638839996,69231.7907406888
2002-10-31,8420.16586394,17644.188727089997,63087.36825154,69565.4646855287
2002-11-30,8516.694323741,17911.901038801,63782.164888221,71100.9557817578
2002-12-31,9993.495698491,21635.640149341,66672.227867911,73975.4628279778
2003-01-31,9142.33867052,19232.10435647,65703.13312032999,73099.0861548163
2003-02-28,8865.06033118095,18805.50256657095,65786.47218435095,73897.03669332985
2003-03-31,8713.054290472,18863.329215292,66321.183818782,74363.9374872954
2003-04-30,8939.64493122,19060.04272723,66872.37098419,74380.5134844566
2003-05-31,8829.54660381,18290.89704169,66711.49015658,75685.77111987
2003-06-30,9183.31674005,19648.331812099997,67856.61016002999,77083.87237323
2003-07-31,9419.67089758,19870.48555212,68497.14734962,77082.57464884
2003-08-31,9185.34433632,19458.56612992,68497.33046257,77441.10351764
2003-09-30,9136.99205305,19688.25493861,68804.83165215,77569.17982322
2003-10-31,9650.60753695,20047.40724228,69897.73299823,77413.33492421001
2003-11-30,9933.92468262,20992.48998771,70818.37543933,79565.56745647
2003-12-31,11952.59778729,24918.29936014,74758.3990368,83382.25044644
2004-01-31,10946.76513141,22474.84463966,73307.24481597,82583.75800316999
2004-02-29,10595.66635888,22049.84907883,73562.5179389,82953.15865648
2004-03-31,10729.48422345,22520.959379339998,74604.96442112,84059.61215366
2004-04-30,10388.8507888,21398.165272899998,73894.23074927,83951.92398564001
2004-05-31,10390.08406707,21391.54070954,74687.92092070999,83690.77325771
2004-06-30,11351.25865239,23035.258657320002,78489.13887871,87261.7551001
2004-07-31,10855.43747656,22145.916609840002,77736.56263541,86709.4852808
2004-08-31,10547.5607101,21935.08346778,78755.63365561,87279.18113986001
2004-09-30,10881.42539491,22606.476759279998,79224.09803523,88928.67114076
2004-10-31,10952.52584366,22578.480141369997,79212.30848019,89803.12784685999
2004-11-30,11366.33562395,23765.79306024,82652.98996855,92160.43367872
2004-12-31,13836.17018892,29113.72355199,88342.38427719,97634.97385544001
2005-01-31,12526.52485332,25788.360263309998,86863.40468159,97227.13544777999
2005-02-28,12170.62439702,25367.14408905,86524.57661361,96937.46132646
2005-03-31,12412.45720054,25876.36911905,89433.6925211,98920.46559284
2005-04-30,12169.99008369,25633.493219049997,89805.72879520999,99510.2368726
2005-05-31,12215.64829615,25405.330409989998,90188.78033082,101022.42784255
2005-06-30,13267.81994853,27474.90141286,93435.96662393,102101.66505478
2005-07-31,12864.27239122,26136.578213399996,92774.14955731001,101918.75029646
2005-08-31,13090.04449278,26954.44577138,94437.57603634,102296.16378249
2005-09-30,12922.24624721,26284.30457307,95759.27368109,104778.31321084
2005-10-31,13276.22090048,26870.132731290003,97489.76721143001,106942.62816456
2005-11-30,14346.61005849,29901.342527120003,101880.79571899,111792.61528975
2005-12-31,16308.87983502,34292.647846679996,104088.20583644998,113302.32373977
2006-01-31,14938.27045838,30639.11765679,102642.44063833,112491.70367225999
2006-02-28,14580.12215143,29841.48402052,102663.52130613,112546.90944216
2006-03-31,14863.01968005,29945.631524149998,102480.43073328999,111522.84108549
2006-04-30,15018.57085483,30190.476977680002,104181.35715222,116326.27433836
2006-05-31,15740.08274811,31333.81491175,107537.98493384,116965.23659706
2006-06-30,16490.62946037,32966.16508562,110013.03323438,119267.47287811001
2006-07-31,16577.34057187,32678.62517522,112307.91097340001,121840.86064386001
2006-08-31,16887.61926728,34010.85026983,113767.97973533,122867.93429296
2006-09-30,16687.58236678,32567.135563800002,112360.24711735,122232.63092896
2006-10-31,16688.99422609,33197.00703845,114599.18812639,124857.69805062
2006-11-30,17830.62010059,35287.42385054,119691.57726563,130451.67869102
2006-12-31,20076.52025727,40527.50283482,122183.49793336,132568.6454353
2007-01-31,18466.43239816,36416.41500563,119727.67784455999,130377.79822682
2007-02-28,18205.05970132,36023.69128488,122459.3632239,132877.71231363
2007-03-31,17602.21144754,35358.31706823,126659.73868580999,138742.44084581
2007-04-30,17502.31136063,36101.119672500005,128395.61687174,139934.61838762
2007-05-31,17902.86108533,35806.57069983,127779.88855667,142117.26522845
2007-06-30,18193.45460709,36165.197284819995,128324.47964445999,139546.71805524
2007-07-31,17863.48584004,35749.55161256,131234.34779072,143181.15146291
2007-08-31,17940.09043023,35509.307174739995,130342.27033089,140961.27251948998
2007-09-30,17940.20788632,36692.71587847,133228.87756101,146535.49426961
2007-10-31,19019.97757806,38599.24730762,138844.486756,149869.9988391
2007-11-30,19404.73050356,38293.66967319,141154.86119472,155216.01129425998
2007-12-31,22339.98836193,45362.270638429996,144058.88939159998,156603.62791157002
2008-01-31,20755.78708709,40005.68451408,141003.17476039001,156760.44483772
2008-02-29,19613.4306985,38826.57546153,143727.98937665002,155761.21035612002
2008-03-31,19118.77715901,38489.43222066,143468.62639237999,156717.02900354
2008-04-30,19330.75271783,38823.04104696,145846.16112509998,160598.82293495
2008-05-31,18805.0924618,37468.81496889,143870.38567601,159429.38925807
2008-06-30,19370.33719208,39373.608882329994,146255.34372623,160550.85623262997
2008-07-31,19668.95247468,40011.49969642,148814.97987375,162472.85137533
2008-08-31,19328.32279447,39099.08995965,150595.54300743,165193.81436471
2008-09-30,19476.04841665,38726.29846305,151887.17491314,169004.38832802002
2008-10-31,20482.16138994,40286.53134544,156973.55487527,171844.10262647
2008-11-30,20752.72626418,41488.1353259,160335.98259538,177609.68618124002
2008-12-31,24208.2164636,49095.53790792001,168764.17421099002,184451.62739871998
2009-01-31,22173.66498791,43213.754426319996,166090.51613797,183899.47716389003
2009-02-28,21706.16320579,43421.03261567,169361.19214779,185432.57848435
2009-03-31,21358.92081004,42588.32762155,168225.40643329,185113.64662412
2009-04-30,21372.48288245,42190.03684239,164790.30254391,183970.37687168998
2009-05-31,20850.83870361,41812.44291488,167200.38961572,185825.04137192
2009-06-30,21298.6036222,43620.54375592,169666.64648766,187602.70270835998
2009-07-31,21390.09474151,42810.847171,171207.70058919,189048.26674432
2009-08-31,20720.17122473,43408.39519383,169136.10143526,188367.98485878
2009-09-30,21461.77736656,43135.46405259,169117.60367697,187352.98954088002
2009-10-31,21039.96440477,43565.511854619996,171800.53881166,190249.18178766
2009-11-30,21607.52393524,46062.57882425,174701.05845384998,195321.40468094
2009-12-31,25788.97330493,52756.33023674,177815.96464323002,197481.90276177
